"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360610098007","Block Group 7, Census Tract 98, New York County, New York","363","120","363","120","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","27","20","32","10","16","114","83","203","108","0","12"
"1500000US360610099000","Block Group 0, Census Tract 99, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610099001","Block Group 1, Census Tract 99, New York County, New York","1653","164","1653","164","0","12","0","12","0","12","0","12","5","8","13","19","0","12","0","12","0","12","14","15","56","53","29","32","76","49","52","38","31","29","59","40","70","58","0","12","13","15","109","69","1126","142","0","12"
"1500000US360610100001","Block Group 1, Census Tract 100, New York County, New York","136","77","136","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","23","112","75","0","12"
"1500000US360610100002","Block Group 2, Census Tract 100, New York County, New York","793","119","746","124","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","0","12","9","14","6","10","28","26","0","12","20","25","0","12","0","12","11","17","9","13","39","31","272","106","343","95","47","41"
"1500000US360610101001","Block Group 1, Census Tract 101, New York County, New York","634","81","628","81","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","22","16","19","18","20","35","30","23","25","18","17","13","19","0","12","4","10","15","19","51","31","415","69","6","9"
"1500000US360610102001","Block Group 1, Census Tract 102, New York County, New York","105","66","105","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","9","0","12","0","12","98","68","0","12"
"1500000US360610103001","Block Group 1, Census Tract 103, New York County, New York","1029","97","1029","97","0","12","0","12","0","12","7","11","8","12","0","12","0","12","0","12","0","12","0","12","8","12","9","15","0","12","18","23","9","14","42","35","0","12","63","52","32","30","205","87","628","104","0","12"
"1500000US360610104001","Block Group 1, Census Tract 104, New York County, New York","315","67","305","66","0","12","0","12","6","9","0","12","0","12","0","12","0","12","0","12","10","15","0","12","9","13","0","12","5","8","6","10","0","12","0","12","13","15","10","12","24","19","87","47","135","48","10","11"
"1500000US360610106010","Block Group 0, Census Tract 106.01, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610106011","Block Group 1, Census Tract 106.01, New York County, New York","81","67","81","67","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","70","65","0","12"
"1500000US360610106012","Block Group 2, Census Tract 106.01, New York County, New York","275","119","275","119","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","26","42","0","12","75","90","174","105","0","12"
"1500000US360610106013","Block Group 3, Census Tract 106.01, New York County, New York","582","220","562","219","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","22","160","105","376","236","20","33"
"1500000US360610106014","Block Group 4, Census Tract 106.01, New York County, New York","131","108","79","98","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","79","98","52","62"
"1500000US360610106015","Block Group 5, Census Tract 106.01, New York County, New York","624","183","605","182","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","96","76","41","50","87","71","381","165","19","32"
"1500000US360610106016","Block Group 6, Census Tract 106.01, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610106020","Block Group 0, Census Tract 106.02, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610106021","Block Group 1, Census Tract 106.02, New York County, New York","596","156","540","143","0","12","0","12","0","12","0","12","31","51","13","20","0","12","0","12","0","12","0","12","0","12","14","23","9","18","0","12","0","12","0","12","29","32","41","40","103","83","103","78","197","116","56","72"
"1500000US360610106022","Block Group 2, Census Tract 106.02, New York County, New York","900","177","875","178","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","25","9","16","64","79","38","32","108","59","641","171","25","28"
"1500000US360610106023","Block Group 3, Census Tract 106.02, New York County, New York","417","123","417","123","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","0","12","0","12","11","19","0","12","0","12","16","26","91","83","288","117","0","12"
"1500000US360610108001","Block Group 1, Census Tract 108, New York County, New York","253","87","253","87","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","36","0","12","12","21","72","64","73","61","72","70","0","12"
"1500000US360610108002","Block Group 2, Census Tract 108, New York County, New York","222","85","222","85","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","25","0","12","84","63","123","64","0","12"
"1500000US360610108003","Block Group 3, Census Tract 108, New York County, New York","568","171","568","171","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","54","59","58","73","456","173","0","12"
"1500000US360610108004","Block Group 4, Census Tract 108, New York County, New York","329","103","329","103","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","23","315","111","0","12"
"1500000US360610108005","Block Group 5, Census Tract 108, New York County, New York","593","166","580","164","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","25","0","12","22","35","0","12","45","42","123","120","166","70","209","93","13","23"
"1500000US360610108006","Block Group 6, Census Tract 108, New York County, New York","621","196","621","196","0","12","0","12","0","12","0","12","0","12","0","12","22","35","0","12","0","12","36","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","36","113","96","141","115","287","164","0","12"
"1500000US360610108007","Block Group 7, Census Tract 108, New York County, New York","204","126","204","126","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","134","101","70","73","0","12"
"1500000US360610109001","Block Group 1, Census Tract 109, New York County, New York","47","21","39","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","16","28","20","8","13"
"1500000US360610110001","Block Group 1, Census Tract 110, New York County, New York","544","176","531","179","17","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","39","11","19","0","12","57","77","423","170","13","21"
"1500000US360610110002","Block Group 2, Census Tract 110, New York County, New York","498","131","482","128","0","12","0","12","0","12","0","12","0","12","0","12","9","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","93","61","134","91","237","103","16","27"
"1500000US360610110003","Block Group 3, Census Tract 110, New York County, New York","814","227","814","227","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","10","15","24","28","45","56","53","0","12","33","52","163","151","261","150","252","174","0","12"
"1500000US360610110004","Block Group 4, Census Tract 110, New York County, New York","355","149","355","149","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","128","111","227","116","0","12"
"1500000US360610110005","Block Group 5, Census Tract 110, New York County, New York","331","163","331","163","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","19","12","20","0","12","22","35","0","12","0","12","96","129","190","109","0","12"
"1500000US360610110006","Block Group 6, Census Tract 110, New York County, New York","931","222","931","222","0","12","51","45","0","12","0","12","0","12","0","12","0","12","12","19","0","12","0","12","20","34","0","12","0","12","0","12","0","12","22","36","0","12","109","80","73","52","318","178","326","153","0","12"
"1500000US360610111001","Block Group 1, Census Tract 111, New York County, New York","632","119","620","117","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","27","48","58","0","12","37","37","40","39","39","37","13","16","69","45","29","35","49","41","279","100","12","19"
"1500000US360610111002","Block Group 2, Census Tract 111, New York County, New York","530","116","530","116","0","12","0","12","10","17","15","23","0","12","75","82","6","10","18","29","0","12","0","12","0","12","0","12","0","12","13","21","22","36","27","31","21","25","48","54","0","12","137","79","138","67","0","12"
"1500000US360610111003","Block Group 3, Census Tract 111, New York County, New York","677","142","677","142","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","9","39","46","0","12","0","12","16","29","0","12","0","12","63","51","12","19","48","37","494","143","0","12"
"1500000US360610112011","Block Group 1, Census Tract 112.01, New York County, New York","500","66","494","65","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","16","0","12","0","12","0","12","7","11","21","17","10","11","53","30","392","63","6","9"
