"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1500000US360610001001","Block Group 1, Census Tract 1, New York County, New York","-","**"
"1500000US360610002010","Block Group 0, Census Tract 2.01, New York County, New York","-","**"
"1500000US360610002011","Block Group 1, Census Tract 2.01, New York County, New York","1191","311"
"1500000US360610002012","Block Group 2, Census Tract 2.01, New York County, New York","465","93"
"1500000US360610002020","Block Group 0, Census Tract 2.02, New York County, New York","-","**"
"1500000US360610002021","Block Group 1, Census Tract 2.02, New York County, New York","764","156"
"1500000US360610002022","Block Group 2, Census Tract 2.02, New York County, New York","744","94"
"1500000US360610002023","Block Group 3, Census Tract 2.02, New York County, New York","346","184"
"1500000US360610002024","Block Group 4, Census Tract 2.02, New York County, New York","536","127"
"1500000US360610002025","Block Group 5, Census Tract 2.02, New York County, New York","694","248"
"1500000US360610005000","Block Group 0, Census Tract 5, New York County, New York","-","**"
"1500000US360610005001","Block Group 1, Census Tract 5, New York County, New York","-","**"
"1500000US360610005002","Block Group 2, Census Tract 5, New York County, New York","-","**"
"1500000US360610006000","Block Group 0, Census Tract 6, New York County, New York","-","**"
"1500000US360610006001","Block Group 1, Census Tract 6, New York County, New York","851","70"
"1500000US360610006002","Block Group 2, Census Tract 6, New York County, New York","439","247"
"1500000US360610006003","Block Group 3, Census Tract 6, New York County, New York","408","428"
"1500000US360610006004","Block Group 4, Census Tract 6, New York County, New York","1195","356"
"1500000US360610006005","Block Group 5, Census Tract 6, New York County, New York","498","104"
"1500000US360610006006","Block Group 6, Census Tract 6, New York County, New York","514","180"
"1500000US360610007000","Block Group 0, Census Tract 7, New York County, New York","-","**"
"1500000US360610007001","Block Group 1, Census Tract 7, New York County, New York","2,000+","***"
"1500000US360610122002","Block Group 2, Census Tract 122, New York County, New York","2,000+","***"
"1500000US360610122003","Block Group 3, Census Tract 122, New York County, New York","2,000+","***"
"1500000US360610122004","Block Group 4, Census Tract 122, New York County, New York","2,000+","***"
"1500000US360610124000","Block Group 0, Census Tract 124, New York County, New York","-","**"
"1500000US360610124001","Block Group 1, Census Tract 124, New York County, New York","2,000+","***"
"1500000US360610124002","Block Group 2, Census Tract 124, New York County, New York","1964","187"
"1500000US360610124003","Block Group 3, Census Tract 124, New York County, New York","1747","225"
"1500000US360610124004","Block Group 4, Census Tract 124, New York County, New York","2,000+","***"
"1500000US360610124005","Block Group 5, Census Tract 124, New York County, New York","2,000+","***"
"1500000US360610124006","Block Group 6, Census Tract 124, New York County, New York","2,000+","***"
"1500000US360610124007","Block Group 7, Census Tract 124, New York County, New York","-","**"
"1500000US360610124008","Block Group 8, Census Tract 124, New York County, New York","1842","116"
"1500000US360610125001","Block Group 1, Census Tract 125, New York County, New York","1780","1261"
"1500000US360610125002","Block Group 2, Census Tract 125, New York County, New York","2,000+","***"
"1500000US360610126001","Block Group 1, Census Tract 126, New York County, New York","1874","267"
"1500000US360610126002","Block Group 2, Census Tract 126, New York County, New York","2,000+","***"
"1500000US360610126003","Block Group 3, Census Tract 126, New York County, New York","1924","601"
"1500000US360610126004","Block Group 4, Census Tract 126, New York County, New York","1701","418"
"1500000US360610126008","Block Group 8, Census Tract 126, New York County, New York","1207","579"
"1500000US360610126005","Block Group 5, Census Tract 126, New York County, New York","1249","167"
"1500000US360610126006","Block Group 6, Census Tract 126, New York County, New York","1784","162"
"1500000US360610126007","Block Group 7, Census Tract 126, New York County, New York","1295","577"
"1500000US360610127001","Block Group 1, Census Tract 127, New York County, New York","876","482"
"1500000US360610127002","Block Group 2, Census Tract 127, New York County, New York","1745","327"
"1500000US360610127003","Block Group 3, Census Tract 127, New York County, New York","1829","198"
"1500000US360610127004","Block Group 4, Census Tract 127, New York County, New York","1691","159"
"1500000US360610127005","Block Group 5, Census Tract 127, New York County, New York","2,000+","***"
"1500000US360610128001","Block Group 1, Census Tract 128, New York County, New York","1884","304"
"1500000US360610128002","Block Group 2, Census Tract 128, New York County, New York","2,000+","***"
"1500000US360610128003","Block Group 3, Census Tract 128, New York County, New York","2000","1016"
"1500000US360610128004","Block Group 4, Census Tract 128, New York County, New York","2,000+","***"
"1500000US360610128005","Block Group 5, Census Tract 128, New York County, New York","1880","397"
"1500000US360610129000","Block Group 0, Census Tract 129, New York County, New York","-","**"
"1500000US360610129001","Block Group 1, Census Tract 129, New York County, New York","1268","453"
"1500000US360610129002","Block Group 2, Census Tract 129, New York County, New York","2,000+","***"
"1500000US360610130001","Block Group 1, Census Tract 130, New York County, New York","1438","848"
"1500000US360610130002","Block Group 2, Census Tract 130, New York County, New York","1116","123"
"1500000US360610130003","Block Group 3, Census Tract 130, New York County, New York","1742","839"
"1500000US360610130004","Block Group 4, Census Tract 130, New York County, New York","1721","134"
"1500000US360610131001","Block Group 1, Census Tract 131, New York County, New York","1063","1251"
"1500000US360610131002","Block Group 2, Census Tract 131, New York County, New York","2,000+","***"
"1500000US360610132000","Block Group 0, Census Tract 132, New York County, New York","-","**"
"1500000US360610132001","Block Group 1, Census Tract 132, New York County, New York","1700","379"
"1500000US360610132002","Block Group 2, Census Tract 132, New York County, New York","1680","139"
"1500000US360610132003","Block Group 3, Census Tract 132, New York County, New York","1676","373"
"1500000US360610132004","Block Group 4, Census Tract 132, New York County, New York","1223","413"
"1500000US360610132005","Block Group 5, Census Tract 132, New York County, New York","1884","149"
"1500000US360610132006","Block Group 6, Census Tract 132, New York County, New York","2,000+","***"
"1500000US360610132007","Block Group 7, Census Tract 132, New York County, New York","2,000+","***"
"1500000US360610133001","Block Group 1, Census Tract 133, New York County, New York","2,000+","***"
"1500000US360610133002","Block Group 2, Census Tract 133, New York County, New York","1594","740"
"1500000US360610133003","Block Group 3, Census Tract 133, New York County, New York","1607","354"
"1500000US360610133004","Block Group 4, Census Tract 133, New York County, New York","2,000+","***"
"1500000US360610133005","Block Group 5, Census Tract 133, New York County, New York","2,000+","***"
"1500000US360610134001","Block Group 1, Census Tract 134, New York County, New York","2,000+","***"
"1500000US360610134002","Block Group 2, Census Tract 134, New York County, New York","1275","714"
"1500000US360610134003","Block Group 3, Census Tract 134, New York County, New York","1919","340"
"1500000US360610134004","Block Group 4, Census Tract 134, New York County, New York","818","541"
"1500000US360610134005","Block Group 5, Census Tract 134, New York County, New York","1590","974"
"1500000US360610134006","Block Group 6, Census Tract 134, New York County, New York","1729","201"
"1500000US360610134007","Block Group 7, Census Tract 134, New York County, New York","1836","231"
"1500000US360610134008","Block Group 8, Census Tract 134, New York County, New York","2,000+","***"
"1500000US360610134009","Block Group 9, Census Tract 134, New York County, New York","1754","817"
"1500000US360610135000","Block Group 0, Census Tract 135, New York County, New York","-","**"
"1500000US360610135001","Block Group 1, Census Tract 135, New York County, New York","1825","706"
"1500000US360610135002","Block Group 2, Census Tract 135, New York County, New York","874","240"
"1500000US360610136000","Block Group 0, Census Tract 136, New York County, New York","-","**"
"1500000US360610136001","Block Group 1, Census Tract 136, New York County, New York","1675","179"
"1500000US360610136002","Block Group 2, Census Tract 136, New York County, New York","1806","166"
"1500000US360610136003","Block Group 3, Census Tract 136, New York County, New York","2,000+","***"
"1500000US360610136004","Block Group 4, Census Tract 136, New York County, New York","2,000+","***"
"1500000US360610136005","Block Group 5, Census Tract 136, New York County, New York","2,000+","***"
"1500000US360610136006","Block Group 6, Census Tract 136, New York County, New York","2,000+","***"
"1500000US360610136007","Block Group 7, Census Tract 136, New York County, New York","1516","392"
"1500000US360610136008","Block Group 8, Census Tract 136, New York County, New York","1789","413"
"1500000US360610137001","Block Group 1, Census Tract 137, New York County, New York","1993","381"
"1500000US360610137002","Block Group 2, Census Tract 137, New York County, New York","1806","228"
"1500000US360610137003","Block Group 3, Census Tract 137, New York County, New York","2,000+","***"
"1500000US360610137004","Block Group 4, Census Tract 137, New York County, New York","2,000+","***"
"1500000US360610137005","Block Group 5, Census Tract 137, New York County, New York","2,000+","***"
"1500000US360610137006","Block Group 6, Census Tract 137, New York County, New York","2,000+","***"
"1500000US360610138001","Block Group 1, Census Tract 138, New York County, New York","1546","1093"
"1500000US360610138002","Block Group 2, Census Tract 138, New York County, New York","2,000+","***"
"1500000US360610138003","Block Group 3, Census Tract 138, New York County, New York","1572","742"
"1500000US360610138004","Block Group 4, Census Tract 138, New York County, New York","1703","155"
"1500000US360610138005","Block Group 5, Census Tract 138, New York County, New York","1712","207"
"1500000US360610138006","Block Group 6, Census Tract 138, New York County, New York","2,000+","***"
"1500000US360610138007","Block Group 7, Census Tract 138, New York County, New York","2,000+","***"
"1500000US360610138008","Block Group 8, Census Tract 138, New York County, New York","1729","176"
