"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1500000US360610230001","Block Group 1, Census Tract 230, New York County, New York","900","503"
"1500000US360610230002","Block Group 2, Census Tract 230, New York County, New York","769","290"
"1500000US360610230003","Block Group 3, Census Tract 230, New York County, New York","1122","107"
"1500000US360610230004","Block Group 4, Census Tract 230, New York County, New York","542","181"
"1500000US360610230005","Block Group 5, Census Tract 230, New York County, New York","768","178"
"1500000US360610231001","Block Group 1, Census Tract 231, New York County, New York","1396","139"
"1500000US360610231002","Block Group 2, Census Tract 231, New York County, New York","1303","101"
"1500000US360610231003","Block Group 3, Census Tract 231, New York County, New York","990","572"
"1500000US360610232001","Block Group 1, Census Tract 232, New York County, New York","1010","593"
"1500000US360610232002","Block Group 2, Census Tract 232, New York County, New York","760","217"
"1500000US360610232003","Block Group 3, Census Tract 232, New York County, New York","430","122"
"1500000US360610232004","Block Group 4, Census Tract 232, New York County, New York","1079","244"
"1500000US360610233000","Block Group 0, Census Tract 233, New York County, New York","-","**"
"1500000US360610233001","Block Group 1, Census Tract 233, New York County, New York","1289","114"
"1500000US360610233002","Block Group 2, Census Tract 233, New York County, New York","1352","150"
"1500000US360610233003","Block Group 3, Census Tract 233, New York County, New York","1268","332"
"1500000US360610234001","Block Group 1, Census Tract 234, New York County, New York","1093","264"
"1500000US360610234002","Block Group 2, Census Tract 234, New York County, New York","1190","181"
"1500000US360610235011","Block Group 1, Census Tract 235.01, New York County, New York","1202","720"
"1500000US360610235012","Block Group 2, Census Tract 235.01, New York County, New York","1228","197"
"1500000US360610235013","Block Group 3, Census Tract 235.01, New York County, New York","-","**"
"1500000US360610235014","Block Group 4, Census Tract 235.01, New York County, New York","918","231"
"1500000US360610235021","Block Group 1, Census Tract 235.02, New York County, New York","1190","132"
"1500000US360610236000","Block Group 0, Census Tract 236, New York County, New York","-","**"
"1500000US360610236001","Block Group 1, Census Tract 236, New York County, New York","929","175"
"1500000US360610236002","Block Group 2, Census Tract 236, New York County, New York","751","310"
"1500000US360610236003","Block Group 3, Census Tract 236, New York County, New York","806","496"
"1500000US360610236004","Block Group 4, Census Tract 236, New York County, New York","895","52"
"1500000US360610237000","Block Group 0, Census Tract 237, New York County, New York","-","**"
"1500000US360610237001","Block Group 1, Census Tract 237, New York County, New York","1193","93"
"1500000US360610237002","Block Group 2, Census Tract 237, New York County, New York","1394","364"
"1500000US360610237003","Block Group 3, Census Tract 237, New York County, New York","1072","114"
"1500000US360610238010","Block Group 0, Census Tract 238.01, New York County, New York","-","**"
"1500000US360610238011","Block Group 1, Census Tract 238.01, New York County, New York","1988","224"
"1500000US360610238020","Block Group 0, Census Tract 238.02, New York County, New York","-","**"
"1500000US360610238021","Block Group 1, Census Tract 238.02, New York County, New York","2510","179"
"1500000US360610238022","Block Group 2, Census Tract 238.02, New York County, New York","3209","204"
"1500000US360610239001","Block Group 1, Census Tract 239, New York County, New York","1130","156"
"1500000US360610239002","Block Group 2, Census Tract 239, New York County, New York","1107","125"
"1500000US360610240000","Block Group 0, Census Tract 240, New York County, New York","-","**"
"1500000US360610240001","Block Group 1, Census Tract 240, New York County, New York","-","**"
"1500000US360610241000","Block Group 0, Census Tract 241, New York County, New York","-","**"
"1500000US360610241001","Block Group 1, Census Tract 241, New York County, New York","1116","118"
"1500000US360610086034","Block Group 4, Census Tract 86.03, New York County, New York","1980","1495"
"1500000US360610087001","Block Group 1, Census Tract 87, New York County, New York","2750","1103"
"1500000US360610087002","Block Group 2, Census Tract 87, New York County, New York","763","685"
"1500000US360610087003","Block Group 3, Census Tract 87, New York County, New York","3079","245"
"1500000US360610087004","Block Group 4, Census Tract 87, New York County, New York","2309","281"
"1500000US360610087005","Block Group 5, Census Tract 87, New York County, New York","2049","347"
"1500000US360610088001","Block Group 1, Census Tract 88, New York County, New York","1874","186"
"1500000US360610088002","Block Group 2, Census Tract 88, New York County, New York","3295","846"
"1500000US360610088003","Block Group 3, Census Tract 88, New York County, New York","3054","2414"
"1500000US360610088004","Block Group 4, Census Tract 88, New York County, New York","3246","580"
"1500000US360610088005","Block Group 5, Census Tract 88, New York County, New York","2150","247"
"1500000US360610088006","Block Group 6, Census Tract 88, New York County, New York","1722","448"
"1500000US360610088007","Block Group 7, Census Tract 88, New York County, New York","1739","186"
"1500000US360610089001","Block Group 1, Census Tract 89, New York County, New York","1494","399"
"1500000US360610089002","Block Group 2, Census Tract 89, New York County, New York","2587","536"
"1500000US360610089003","Block Group 3, Census Tract 89, New York County, New York","736","693"
"1500000US360610089004","Block Group 4, Census Tract 89, New York County, New York","2720","682"
"1500000US360610089005","Block Group 5, Census Tract 89, New York County, New York","1778","367"
"1500000US360610090001","Block Group 1, Census Tract 90, New York County, New York","2160","206"
"1500000US360610090002","Block Group 2, Census Tract 90, New York County, New York","2455","582"
"1500000US360610090003","Block Group 3, Census Tract 90, New York County, New York","2693","463"
"1500000US360610090004","Block Group 4, Census Tract 90, New York County, New York","2213","380"
"1500000US360610090005","Block Group 5, Census Tract 90, New York County, New York","3486","1496"
"1500000US360610090006","Block Group 6, Census Tract 90, New York County, New York","2276","973"
"1500000US360610091001","Block Group 1, Census Tract 91, New York County, New York","2500","668"
"1500000US360610091002","Block Group 2, Census Tract 91, New York County, New York","2000","1376"
"1500000US360610091003","Block Group 3, Census Tract 91, New York County, New York","1100","173"
"1500000US360610091004","Block Group 4, Census Tract 91, New York County, New York","2253","260"
"1500000US360610092001","Block Group 1, Census Tract 92, New York County, New York","2601","248"
"1500000US360610093001","Block Group 1, Census Tract 93, New York County, New York","670","193"
"1500000US360610093002","Block Group 2, Census Tract 93, New York County, New York","1859","184"
"1500000US360610093003","Block Group 3, Census Tract 93, New York County, New York","2727","270"
"1500000US360610093004","Block Group 4, Census Tract 93, New York County, New York","2230","410"
"1500000US360610093005","Block Group 5, Census Tract 93, New York County, New York","2272","406"
"1500000US360610093006","Block Group 6, Census Tract 93, New York County, New York","644","538"
