"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1500000US360610108004","Block Group 4, Census Tract 108, New York County, New York","1412","1218"
"1500000US360610108005","Block Group 5, Census Tract 108, New York County, New York","1995","835"
"1500000US360610108006","Block Group 6, Census Tract 108, New York County, New York","1903","430"
"1500000US360610108007","Block Group 7, Census Tract 108, New York County, New York","2105","274"
"1500000US360610077005","Block Group 5, Census Tract 77, New York County, New York","2941","352"
"1500000US360610074003","Block Group 3, Census Tract 74, New York County, New York","3,500+","***"
"1500000US360610159000","Block Group 0, Census Tract 159, New York County, New York","-","**"
"1500000US360610162001","Block Group 1, Census Tract 162, New York County, New York","1032","108"
"1500000US360610187000","Block Group 0, Census Tract 187, New York County, New York","-","**"
"1500000US360610162005","Block Group 5, Census Tract 162, New York County, New York","1673","283"
"1500000US360610162000","Block Group 0, Census Tract 162, New York County, New York","-","**"
"1500000US360610307003","Block Group 3, Census Tract 307, New York County, New York","1558","132"
"1500000US360610061003","Block Group 3, Census Tract 61, New York County, New York","2690","129"
"1500000US360610069000","Block Group 0, Census Tract 69, New York County, New York","-","**"
"1500000US360610088006","Block Group 6, Census Tract 88, New York County, New York","1980","857"
"1500000US360610088004","Block Group 4, Census Tract 88, New York County, New York","2217","1833"
"1500000US360610088005","Block Group 5, Census Tract 88, New York County, New York","2246","221"
"1500000US360610088007","Block Group 7, Census Tract 88, New York County, New York","1770","237"
"1500000US360610071005","Block Group 5, Census Tract 71, New York County, New York","2548","409"
"1500000US360610072005","Block Group 5, Census Tract 72, New York County, New York","3,500+","***"
"1500000US360610072006","Block Group 6, Census Tract 72, New York County, New York","3049","1267"
"1500000US360610134008","Block Group 8, Census Tract 134, New York County, New York","2221","469"
"1500000US360610134009","Block Group 9, Census Tract 134, New York County, New York","1359","1276"
"1500000US360610091004","Block Group 4, Census Tract 91, New York County, New York","2349","161"
"1500000US360610243020","Block Group 0, Census Tract 243.02, New York County, New York","-","**"
"1500000US360610016005","Block Group 5, Census Tract 16, New York County, New York","1963","509"
"1500000US360610080005","Block Group 5, Census Tract 80, New York County, New York","2910","697"
"1500000US360610121006","Block Group 6, Census Tract 121, New York County, New York","1498","827"
"1500000US360610121005","Block Group 5, Census Tract 121, New York County, New York","994","608"
"1500000US360610179007","Block Group 7, Census Tract 179, New York County, New York","2021","1261"
"1500000US360610179000","Block Group 0, Census Tract 179, New York County, New York","-","**"
"1500000US360610010020","Block Group 0, Census Tract 10.02, New York County, New York","-","**"
"1500000US360610010022","Block Group 2, Census Tract 10.02, New York County, New York","356","104"
"1500000US360610010023","Block Group 3, Census Tract 10.02, New York County, New York","610","387"
"1500000US360610145003","Block Group 3, Census Tract 145, New York County, New York","3,500+","***"
"1500000US360610145004","Block Group 4, Census Tract 145, New York County, New York","3017","2735"
"1500000US360610110003","Block Group 3, Census Tract 110, New York County, New York","2494","426"
"1500000US360610110004","Block Group 4, Census Tract 110, New York County, New York","3,500+","***"
"1500000US360610110005","Block Group 5, Census Tract 110, New York County, New York","2883","775"
"1500000US360610110006","Block Group 6, Census Tract 110, New York County, New York","1780","231"
"1500000US360610106023","Block Group 3, Census Tract 106.02, New York County, New York","3154","318"
"1500000US360610106020","Block Group 0, Census Tract 106.02, New York County, New York","-","**"
"1500000US360610149005","Block Group 5, Census Tract 149, New York County, New York","2884","786"
"1500000US360610008006","Block Group 6, Census Tract 8, New York County, New York","1009","174"
"1500000US360610008000","Block Group 0, Census Tract 8, New York County, New York","-","**"
"1500000US360610008004","Block Group 4, Census Tract 8, New York County, New York","1060","56"
"1500000US360610008005","Block Group 5, Census Tract 8, New York County, New York","933","47"
"1500000US360610138005","Block Group 5, Census Tract 138, New York County, New York","2098","221"
"1500000US360610138006","Block Group 6, Census Tract 138, New York County, New York","2097","417"
"1500000US360610138007","Block Group 7, Census Tract 138, New York County, New York","2301","112"
"1500000US360610138008","Block Group 8, Census Tract 138, New York County, New York","2608","616"
"1500000US360610138009","Block Group 9, Census Tract 138, New York County, New York","-","**"
"1500000US360610177005","Block Group 5, Census Tract 177, New York County, New York","1584","717"
"1500000US360610139005","Block Group 5, Census Tract 139, New York County, New York","2639","472"
"1500000US360610185002","Block Group 2, Census Tract 185, New York County, New York","1793","381"
"1500000US360610185003","Block Group 3, Census Tract 185, New York County, New York","2672","425"
"1500000US360610210000","Block Group 0, Census Tract 210, New York County, New York","-","**"
"1500000US360610210004","Block Group 4, Census Tract 210, New York County, New York","408","246"
"1500000US360610195000","Block Group 0, Census Tract 195, New York County, New York","-","**"
"1500000US360610044005","Block Group 5, Census Tract 44, New York County, New York","3054","1182"
"1500000US360610086021","Block Group 1, Census Tract 86.02, New York County, New York","-","**"
"1500000US360610086020","Block Group 0, Census Tract 86.02, New York County, New York","-","**"
"1500000US360610213034","Block Group 4, Census Tract 213.03, New York County, New York","1217","156"
"1500000US360610213032","Block Group 2, Census Tract 213.03, New York County, New York","1186","524"
"1500000US360610213033","Block Group 3, Census Tract 213.03, New York County, New York","1223","206"
"1500000US360610213031","Block Group 1, Census Tract 213.03, New York County, New York","1314","184"
"1500000US360610006000","Block Group 0, Census Tract 6, New York County, New York","-","**"
"1500000US360610006005","Block Group 5, Census Tract 6, New York County, New York","382","201"
"1500000US360610006006","Block Group 6, Census Tract 6, New York County, New York","500","71"
"1500000US360610223014","Block Group 4, Census Tract 223.01, New York County, New York","958","465"
"1500000US360610223010","Block Group 0, Census Tract 223.01, New York County, New York","-","**"
"1500000US360610139006","Block Group 6, Census Tract 139, New York County, New York","-","**"
"1500000US360610139007","Block Group 7, Census Tract 139, New York County, New York","2673","174"
"1500000US360610133005","Block Group 5, Census Tract 133, New York County, New York","2750","409"
"1500000US360610158022","Block Group 2, Census Tract 158.02, New York County, New York","1933","199"
"1500000US360610192000","Block Group 0, Census Tract 192, New York County, New York","-","**"
"1500000US360610192003","Block Group 3, Census Tract 192, New York County, New York","393","90"
"1500000US360610177006","Block Group 6, Census Tract 177, New York County, New York","1290","632"
"1500000US360610177007","Block Group 7, Census Tract 177, New York County, New York","928","828"
"1500000US360610177008","Block Group 8, Census Tract 177, New York County, New York","1330","274"
"1500000US360610116000","Block Group 0, Census Tract 116, New York County, New York","-","**"
"1500000US360610117000","Block Group 0, Census Tract 117, New York County, New York","-","**"
"1500000US360610089005","Block Group 5, Census Tract 89, New York County, New York","2482","1164"
"1500000US360610063005","Block Group 5, Census Tract 63, New York County, New York","1976","779"
"1500000US360610078004","Block Group 4, Census Tract 78, New York County, New York","2272","306"
"1500000US360610078005","Block Group 5, Census Tract 78, New York County, New York","-","**"
"1500000US360610078006","Block Group 6, Census Tract 78, New York County, New York","2865","610"
"1500000US360610078007","Block Group 7, Census Tract 78, New York County, New York","2936","418"
"1500000US360610055013","Block Group 3, Census Tract 55.01, New York County, New York","2386","250"
"1500000US360610157005","Block Group 5, Census Tract 157, New York County, New York","2189","263"
"1500000US360610157006","Block Group 6, Census Tract 157, New York County, New York","2212","191"
"1500000US360610153007","Block Group 7, Census Tract 153, New York County, New York","3350","351"
"1500000US360610157007","Block Group 7, Census Tract 157, New York County, New York","1765","452"
"1500000US360610157008","Block Group 8, Census Tract 157, New York County, New York","2398","981"
"1500000US360610265005","Block Group 5, Census Tract 265, New York County, New York","1388","140"
"1500000US360610181004","Block Group 4, Census Tract 181, New York County, New York","1886","392"
"1500000US360610070005","Block Group 5, Census Tract 70, New York County, New York","2848","764"
"1500000US360610070006","Block Group 6, Census Tract 70, New York County, New York","2191","339"
"1500000US360610191000","Block Group 0, Census Tract 191, New York County, New York","-","**"
"1500000US360610181005","Block Group 5, Census Tract 181, New York County, New York","1184","554"
"1500000US360610181006","Block Group 6, Census Tract 181, New York County, New York","1063","271"
"1500000US360610146014","Block Group 4, Census Tract 146.01, New York County, New York","2159","178"
"1500000US360610154005","Block Group 5, Census Tract 154, New York County, New York","1803","252"
"1500000US360610154006","Block Group 6, Census Tract 154, New York County, New York","2302","454"
"1500000US360610154007","Block Group 7, Census Tract 154, New York County, New York","2313","283"
"1500000US360610154008","Block Group 8, Census Tract 154, New York County, New York","1979","320"
"1500000US360610154009","Block Group 9, Census Tract 154, New York County, New York","-","**"
"1500000US360610156012","Block Group 2, Census Tract 156.01, New York County, New York","1641","335"
"1500000US360610156013","Block Group 3, Census Tract 156.01, New York County, New York","1648","711"
"1500000US360610156014","Block Group 4, Census Tract 156.01, New York County, New York","3016","208"
"1500000US360610240001","Block Group 1, Census Tract 240, New York County, New York","-","**"
"1500000US360610240000","Block Group 0, Census Tract 240, New York County, New York","-","**"
"1500000US360610014012","Block Group 2, Census Tract 14.01, New York County, New York","994","878"
"1500000US360610217031","Block Group 1, Census Tract 217.03, New York County, New York","-","**"
"1500000US360610152000","Block Group 0, Census Tract 152, New York County, New York","-","**"
"1500000US360610152003","Block Group 3, Census Tract 152, New York County, New York","2728","1259"
"1500000US360610152004","Block Group 4, Census Tract 152, New York County, New York","2595","312"
"1500000US360610056003","Block Group 3, Census Tract 56, New York County, New York","2324","653"
"1500000US360610009000","Block Group 0, Census Tract 9, New York County, New York","-","**"
"1500000US360610243022","Block Group 2, Census Tract 243.02, New York County, New York","642","213"
"1500000US360610243023","Block Group 3, Census Tract 243.02, New York County, New York","509","103"
"1500000US360610106016","Block Group 6, Census Tract 106.01, New York County, New York","-","**"
"1500000US360610106010","Block Group 0, Census Tract 106.01, New York County, New York","-","**"
"1500000US360610106014","Block Group 4, Census Tract 106.01, New York County, New York","-","**"
"1500000US360610106015","Block Group 5, Census Tract 106.01, New York County, New York","2790","216"
"1500000US360610269001","Block Group 1, Census Tract 269, New York County, New York","1167","651"
"1500000US360610148012","Block Group 2, Census Tract 148.01, New York County, New York","2362","173"
"1500000US360610024000","Block Group 0, Census Tract 24, New York County, New York","-","**"
"1500000US360610178000","Block Group 0, Census Tract 178, New York County, New York","-","**"
"1500000US360610212004","Block Group 4, Census Tract 212, New York County, New York","1633","118"
"1500000US360610225000","Block Group 0, Census Tract 225, New York County, New York","-","**"
"1500000US360610319001","Block Group 1, Census Tract 319, New York County, New York","-","**"
"1500000US360610319000","Block Group 0, Census Tract 319, New York County, New York","-","**"
"1500000US360610144023","Block Group 3, Census Tract 144.02, New York County, New York","1889","172"
"1500000US360610144024","Block Group 4, Census Tract 144.02, New York County, New York","2216","369"
"1500000US360610144025","Block Group 5, Census Tract 144.02, New York County, New York","2698","273"
"1500000US360610149003","Block Group 3, Census Tract 149, New York County, New York","2334","242"
"1500000US360610149004","Block Group 4, Census Tract 149, New York County, New York","1886","1739"
"1500000US360610040005","Block Group 5, Census Tract 40, New York County, New York","2048","627"
"1500000US360610040006","Block Group 6, Census Tract 40, New York County, New York","2152","676"
"1500000US360610273004","Block Group 4, Census Tract 273, New York County, New York","1811","142"
"1500000US360610097003","Block Group 3, Census Tract 97, New York County, New York","787","62"
"1500000US360610097004","Block Group 4, Census Tract 97, New York County, New York","1130","115"
"1500000US360610153005","Block Group 5, Census Tract 153, New York County, New York","2921","374"
"1500000US360610132000","Block Group 0, Census Tract 132, New York County, New York","-","**"
"1500000US360610132005","Block Group 5, Census Tract 132, New York County, New York","1835","142"
"1500000US360610132006","Block Group 6, Census Tract 132, New York County, New York","3067","406"
"1500000US360610161006","Block Group 6, Census Tract 161, New York County, New York","2226","322"
"1500000US360610132007","Block Group 7, Census Tract 132, New York County, New York","2199","203"
"1500000US360610161004","Block Group 4, Census Tract 161, New York County, New York","2801","317"
"1500000US360610161005","Block Group 5, Census Tract 161, New York County, New York","2342","289"
"1500000US360610118005","Block Group 5, Census Tract 118, New York County, New York","1188","717"
"1500000US360610118006","Block Group 6, Census Tract 118, New York County, New York","2574","294"
"1500000US360610195005","Block Group 5, Census Tract 195, New York County, New York","2158","737"
"1500000US360610189006","Block Group 6, Census Tract 189, New York County, New York","407","193"
"1500000US360610059004","Block Group 4, Census Tract 59, New York County, New York","-","**"
"1500000US360610059005","Block Group 5, Census Tract 59, New York County, New York","1429","726"
"1500000US360610136000","Block Group 0, Census Tract 136, New York County, New York","-","**"
"1500000US360610073006","Block Group 6, Census Tract 73, New York County, New York","2724","1866"
"1500000US360610164004","Block Group 4, Census Tract 164, New York County, New York","542","164"
"1500000US360610287000","Block Group 0, Census Tract 287, New York County, New York","-","**"
"1500000US360610002010","Block Group 0, Census Tract 2.01, New York County, New York","-","**"
"1500000US360610137005","Block Group 5, Census Tract 137, New York County, New York","3252","126"
"1500000US360610165004","Block Group 4, Census Tract 165, New York County, New York","1814","289"
"1500000US360610165005","Block Group 5, Census Tract 165, New York County, New York","1557","569"
"1500000US360610183007","Block Group 7, Census Tract 183, New York County, New York","2575","458"
"1500000US360610183000","Block Group 0, Census Tract 183, New York County, New York","-","**"
"1500000US360610180004","Block Group 4, Census Tract 180, New York County, New York","429","187"
"1500000US360610160022","Block Group 2, Census Tract 160.02, New York County, New York","1756","163"
"1500000US360610167000","Block Group 0, Census Tract 167, New York County, New York","-","**"
"1500000US360610068004","Block Group 4, Census Tract 68, New York County, New York","-","**"
"1500000US360610068005","Block Group 5, Census Tract 68, New York County, New York","-","**"
"1500000US360610068006","Block Group 6, Census Tract 68, New York County, New York","2402","377"
"1500000US360610032007","Block Group 7, Census Tract 32, New York County, New York","1365","375"
"1500000US360610032005","Block Group 5, Census Tract 32, New York County, New York","1235","377"
"1500000US360610032006","Block Group 6, Census Tract 32, New York County, New York","2028","408"
"1500000US360610075003","Block Group 3, Census Tract 75, New York County, New York","2664","252"
"1500000US360610075000","Block Group 0, Census Tract 75, New York County, New York","-","**"
"1500000US360610007000","Block Group 0, Census Tract 7, New York County, New York","-","**"
"1500000US360610090004","Block Group 4, Census Tract 90, New York County, New York","2298","667"
"1500000US360610090006","Block Group 6, Census Tract 90, New York County, New York","2502","446"
"1500000US360610090005","Block Group 5, Census Tract 90, New York County, New York","3066","734"
"1500000US360610275000","Block Group 0, Census Tract 275, New York County, New York","-","**"
"1500000US360610150012","Block Group 2, Census Tract 150.01, New York County, New York","2342","184"
"1500000US360610293005","Block Group 5, Census Tract 293, New York County, New York","1147","101"
"1500000US360610311000","Block Group 0, Census Tract 311, New York County, New York","-","**"
"1500000US360610005002","Block Group 2, Census Tract 5, New York County, New York","-","**"
"1500000US360610002025","Block Group 5, Census Tract 2.02, New York County, New York","747","119"
"1500000US360610002020","Block Group 0, Census Tract 2.02, New York County, New York","-","**"
"1500000US360610002024","Block Group 4, Census Tract 2.02, New York County, New York","568","91"
"1500000US360610146026","Block Group 6, Census Tract 146.02, New York County, New York","2026","470"
"1500000US360610205000","Block Group 0, Census Tract 205, New York County, New York","-","**"
"1500000US360610205003","Block Group 3, Census Tract 205, New York County, New York","1753","208"
"1500000US360610093006","Block Group 6, Census Tract 93, New York County, New York","643","480"
"1500000US360610093005","Block Group 5, Census Tract 93, New York County, New York","2286","1034"
"1500000US360610038007","Block Group 7, Census Tract 38, New York County, New York","1452","1088"
"1500000US360610093007","Block Group 7, Census Tract 93, New York County, New York","3240","2836"
"1500000US360610038005","Block Group 5, Census Tract 38, New York County, New York","1980","331"
"1500000US360610038006","Block Group 6, Census Tract 38, New York County, New York","2237","402"
"1500000US360610050003","Block Group 3, Census Tract 50, New York County, New York","2791","176"
"1500000US360610050004","Block Group 4, Census Tract 50, New York County, New York","3044","2375"
"1500000US360610050005","Block Group 5, Census Tract 50, New York County, New York","2582","493"
"1500000US360610064006","Block Group 6, Census Tract 64, New York County, New York","1936","561"
"1500000US360610079004","Block Group 4, Census Tract 79, New York County, New York","3409","2647"
"1500000US360610079000","Block Group 0, Census Tract 79, New York County, New York","-","**"
"1500000US360610297000","Block Group 0, Census Tract 297, New York County, New York","-","**"
"1500000US360610207012","Block Group 2, Census Tract 207.01, New York County, New York","1876","170"
"1500000US360610283003","Block Group 3, Census Tract 283, New York County, New York","1300","151"
"1500000US360610283004","Block Group 4, Census Tract 283, New York County, New York","1276","113"
"1500000US360610062002","Block Group 2, Census Tract 62, New York County, New York","2719","196"
"1500000US360610062000","Block Group 0, Census Tract 62, New York County, New York","-","**"
"1500000US360610025000","Block Group 0, Census Tract 25, New York County, New York","-","**"
"1500000US360610025002","Block Group 2, Census Tract 25, New York County, New York","286","60"
"1500000US360610025003","Block Group 3, Census Tract 25, New York County, New York","544","125"
"1500000US360610060000","Block Group 0, Census Tract 60, New York County, New York","-","**"
"1500000US360610060002","Block Group 2, Census Tract 60, New York County, New York","3260","250"
"1500000US360610060003","Block Group 3, Census Tract 60, New York County, New York","2004","259"
"1500000US360610072007","Block Group 7, Census Tract 72, New York County, New York","2421","356"
"1500000US360610186003","Block Group 3, Census Tract 186, New York County, New York","320","126"
"1500000US360610098005","Block Group 5, Census Tract 98, New York County, New York","2458","584"
"1500000US360610199005","Block Group 5, Census Tract 199, New York County, New York","1786","162"
"1500000US360610098006","Block Group 6, Census Tract 98, New York County, New York","2467","685"
"1500000US360610098007","Block Group 7, Census Tract 98, New York County, New York","2163","985"
"1500000US360610199000","Block Group 0, Census Tract 199, New York County, New York","-","**"
"1500000US360610199006","Block Group 6, Census Tract 199, New York County, New York","1897","569"
"1500000US360610082003","Block Group 3, Census Tract 82, New York County, New York","3053","414"
"1500000US360610136005","Block Group 5, Census Tract 136, New York County, New York","3250","1016"
"1500000US360610136006","Block Group 6, Census Tract 136, New York County, New York","2750","953"
"1500000US360610136007","Block Group 7, Census Tract 136, New York County, New York","1851","353"
"1500000US360610136008","Block Group 8, Census Tract 136, New York County, New York","2097","527"
"1500000US360610126005","Block Group 5, Census Tract 126, New York County, New York","-","**"
"1500000US360610126006","Block Group 6, Census Tract 126, New York County, New York","2313","162"
"1500000US360610126007","Block Group 7, Census Tract 126, New York County, New York","2128","300"
"1500000US360610126008","Block Group 8, Census Tract 126, New York County, New York","1646","335"
"1500000US360610086032","Block Group 2, Census Tract 86.03, New York County, New York","3297","395"
"1500000US360610086034","Block Group 4, Census Tract 86.03, New York County, New York","2740","1384"
"1500000US360610231002","Block Group 2, Census Tract 231, New York County, New York","1328","69"
"1500000US360610227001","Block Group 1, Census Tract 227, New York County, New York","1496","672"
"1500000US360610227002","Block Group 2, Census Tract 227, New York County, New York","1726","139"
"1500000US360610227003","Block Group 3, Census Tract 227, New York County, New York","882","145"
"1500000US360610231003","Block Group 3, Census Tract 231, New York County, New York","1060","325"
"1500000US360610231001","Block Group 1, Census Tract 231, New York County, New York","1381","162"
"1500000US360610238011","Block Group 1, Census Tract 238.01, New York County, New York","2138","280"
"1500000US360610238010","Block Group 0, Census Tract 238.01, New York County, New York","-","**"
"1500000US360610238020","Block Group 0, Census Tract 238.02, New York County, New York","-","**"
"1500000US360610238021","Block Group 1, Census Tract 238.02, New York County, New York","2589","205"
"1500000US360610238022","Block Group 2, Census Tract 238.02, New York County, New York","3163","113"
"1500000US360610317030","Block Group 0, Census Tract 317.03, New York County, New York","-","**"
"1500000US360610317031","Block Group 1, Census Tract 317.03, New York County, New York","2881","562"
"1500000US360610317032","Block Group 2, Census Tract 317.03, New York County, New York","2981","535"
"1500000US360610317040","Block Group 0, Census Tract 317.04, New York County, New York","-","**"
"1500000US360610317043","Block Group 3, Census Tract 317.04, New York County, New York","2953","294"
"1500000US360610317044","Block Group 4, Census Tract 317.04, New York County, New York","3274","221"
"1500000US360610317041","Block Group 1, Census Tract 317.04, New York County, New York","3238","320"
"1500000US360610317042","Block Group 2, Census Tract 317.04, New York County, New York","3032","842"
"1500000US360610044000","Block Group 0, Census Tract 44, New York County, New York","-","**"
"1500000US360610044001","Block Group 1, Census Tract 44, New York County, New York","2057","721"
"1500000US360610044002","Block Group 2, Census Tract 44, New York County, New York","1711","158"
"1500000US360610044003","Block Group 3, Census Tract 44, New York County, New York","1991","402"
"1500000US360610044004","Block Group 4, Census Tract 44, New York County, New York","2403","1010"
"1500000US360610044006","Block Group 6, Census Tract 44, New York County, New York","2225","231"
"1500000US360610044007","Block Group 7, Census Tract 44, New York County, New York","1643","320"
"1500000US360610044008","Block Group 8, Census Tract 44, New York County, New York","2234","750"
"1500000US360610169005","Block Group 5, Census Tract 169, New York County, New York","2660","1439"
"1500000US360610169006","Block Group 6, Census Tract 169, New York County, New York","2372","1056"
"1500000US360610171000","Block Group 0, Census Tract 171, New York County, New York","-","**"
"1500000US360610181003","Block Group 3, Census Tract 181, New York County, New York","1231","847"
"1500000US360610241000","Block Group 0, Census Tract 241, New York County, New York","-","**"
"1500000US360610241004","Block Group 4, Census Tract 241, New York County, New York","1433","311"
"1500000US360610087004","Block Group 4, Census Tract 87, New York County, New York","2602","341"
"1500000US360610241005","Block Group 5, Census Tract 241, New York County, New York","369","316"
"1500000US360610230005","Block Group 5, Census Tract 230, New York County, New York","887","313"
"1500000US360610224004","Block Group 4, Census Tract 224, New York County, New York","502","108"
"1500000US360610087005","Block Group 5, Census Tract 87, New York County, New York","2010","448"
"1500000US360610237000","Block Group 0, Census Tract 237, New York County, New York","-","**"
"1500000US360610245007","Block Group 7, Census Tract 245, New York County, New York","885","258"
"1500000US360610173005","Block Group 5, Census Tract 173, New York County, New York","1987","1701"
"1500000US360610173006","Block Group 6, Census Tract 173, New York County, New York","2092","448"
"1500000US360610173007","Block Group 7, Census Tract 173, New York County, New York","1876","569"
"1500000US360610015020","Block Group 0, Census Tract 15.02, New York County, New York","-","**"
"1500000US360610015023","Block Group 3, Census Tract 15.02, New York County, New York","-","**"
"1500000US360610066005","Block Group 5, Census Tract 66, New York County, New York","2512","404"
"1500000US360610066006","Block Group 6, Census Tract 66, New York County, New York","-","**"
"1500000US360610066007","Block Group 7, Census Tract 66, New York County, New York","519","147"
"1500000US360610066008","Block Group 8, Census Tract 66, New York County, New York","-","**"
"1500000US360610066009","Block Group 9, Census Tract 66, New York County, New York","-","**"
"1500000US360610285004","Block Group 4, Census Tract 285, New York County, New York","1279","137"
"1500000US360610175007","Block Group 7, Census Tract 175, New York County, New York","2725","616"
"1500000US360610170005","Block Group 5, Census Tract 170, New York County, New York","1378","218"
"1500000US360610175000","Block Group 0, Census Tract 175, New York County, New York","-","**"
"1500000US360610219000","Block Group 0, Census Tract 219, New York County, New York","-","**"
"1500000US360610170004","Block Group 4, Census Tract 170, New York County, New York","1076","48"
"1500000US360610151000","Block Group 0, Census Tract 151, New York County, New York","-","**"
"1500000US360610151003","Block Group 3, Census Tract 151, New York County, New York","-","**"
"1500000US360610151004","Block Group 4, Census Tract 151, New York County, New York","2824","619"
"1500000US360610172001","Block Group 1, Census Tract 172, New York County, New York","1671","194"
"1500000US360610172002","Block Group 2, Census Tract 172, New York County, New York","716","220"
"1500000US360610172003","Block Group 3, Census Tract 172, New York County, New York","806","801"
"1500000US360610229000","Block Group 0, Census Tract 229, New York County, New York","-","**"
"1500000US360610152005","Block Group 5, Census Tract 152, New York County, New York","2264","170"
"1500000US360610152006","Block Group 6, Census Tract 152, New York County, New York","2076","479"
"1500000US360610229005","Block Group 5, Census Tract 229, New York County, New York","1208","280"
"1500000US360610172004","Block Group 4, Census Tract 172, New York County, New York","1714","171"
"1500000US360610172005","Block Group 5, Census Tract 172, New York County, New York","1181","118"
"1500000US360610215001","Block Group 1, Census Tract 215, New York County, New York","1414","354"
"1500000US360610215002","Block Group 2, Census Tract 215, New York County, New York","1014","149"
"1500000US360610257001","Block Group 1, Census Tract 257, New York County, New York","998","260"
"1500000US360610257002","Block Group 2, Census Tract 257, New York County, New York","1487","428"
"1500000US360610257003","Block Group 3, Census Tract 257, New York County, New York","2043","413"
"1500000US360610037000","Block Group 0, Census Tract 37, New York County, New York","-","**"
"1500000US360610242003","Block Group 3, Census Tract 242, New York County, New York","2016","790"
"1500000US360610037001","Block Group 1, Census Tract 37, New York County, New York","2173","962"
"1500000US360610037002","Block Group 2, Census Tract 37, New York County, New York","2717","314"
"1500000US360610037003","Block Group 3, Census Tract 37, New York County, New York","2376","152"
"1500000US360610048006","Block Group 6, Census Tract 48, New York County, New York","1453","244"
"1500000US360610048007","Block Group 7, Census Tract 48, New York County, New York","-","**"
"1500000US360610028004","Block Group 4, Census Tract 28, New York County, New York","1039","124"
"1500000US360610291005","Block Group 5, Census Tract 291, New York County, New York","1045","138"
"1500000US360610291006","Block Group 6, Census Tract 291, New York County, New York","1282","196"
"1500000US360610291007","Block Group 7, Census Tract 291, New York County, New York","1255","174"
"1500000US360610242000","Block Group 0, Census Tract 242, New York County, New York","-","**"
"1500000US360610242001","Block Group 1, Census Tract 242, New York County, New York","465","73"
"1500000US360610242002","Block Group 2, Census Tract 242, New York County, New York","379","62"
"1500000US360610259001","Block Group 1, Census Tract 259, New York County, New York","1199","168"
"1500000US360610259002","Block Group 2, Census Tract 259, New York County, New York","1217","191"
"1500000US360610299002","Block Group 2, Census Tract 299, New York County, New York","971","72"
"1500000US360610299000","Block Group 0, Census Tract 299, New York County, New York","-","**"
"1500000US360610299001","Block Group 1, Census Tract 299, New York County, New York","586","149"
"1500000US360610086010","Block Group 0, Census Tract 86.01, New York County, New York","-","**"
"1500000US360610086011","Block Group 1, Census Tract 86.01, New York County, New York","3,500+","***"
"1500000US360610086012","Block Group 2, Census Tract 86.01, New York County, New York","3,500+","***"
"1500000US360610086033","Block Group 3, Census Tract 86.03, New York County, New York","2191","1161"
"1500000US360610086030","Block Group 0, Census Tract 86.03, New York County, New York","-","**"
"1500000US360610086031","Block Group 1, Census Tract 86.03, New York County, New York","2739","479"
"1500000US360610118007","Block Group 7, Census Tract 118, New York County, New York","2661","239"
"1500000US360610118008","Block Group 8, Census Tract 118, New York County, New York","3,500+","***"
"1500000US360610211006","Block Group 6, Census Tract 211, New York County, New York","-","**"
"1500000US360610211000","Block Group 0, Census Tract 211, New York County, New York","-","**"
"1500000US360610211005","Block Group 5, Census Tract 211, New York County, New York","290","113"
"1500000US360610211007","Block Group 7, Census Tract 211, New York County, New York","857","454"
"1500000US360610054003","Block Group 3, Census Tract 54, New York County, New York","3030","929"
"1500000US360610135000","Block Group 0, Census Tract 135, New York County, New York","-","**"
"1500000US360610279006","Block Group 6, Census Tract 279, New York County, New York","1372","116"
"1500000US360610279007","Block Group 7, Census Tract 279, New York County, New York","1167","120"
"1500000US360610129000","Block Group 0, Census Tract 129, New York County, New York","-","**"
"1500000US360610144012","Block Group 2, Census Tract 144.01, New York County, New York","2613","250"
"1500000US360610144013","Block Group 3, Census Tract 144.01, New York County, New York","1988","1366"
"1500000US360610144014","Block Group 4, Census Tract 144.01, New York County, New York","2052","470"
"1500000US360610099000","Block Group 0, Census Tract 99, New York County, New York","-","**"
"1500000US360610146012","Block Group 2, Census Tract 146.01, New York County, New York","2187","180"
"1500000US360610146013","Block Group 3, Census Tract 146.01, New York County, New York","2302","180"
"1500000US360610261006","Block Group 6, Census Tract 261, New York County, New York","809","349"
"1500000US360610261007","Block Group 7, Census Tract 261, New York County, New York","902","398"
"1500000US360610233000","Block Group 0, Census Tract 233, New York County, New York","-","**"
"1500000US360610223020","Block Group 0, Census Tract 223.02, New York County, New York","-","**"
"1500000US360610236000","Block Group 0, Census Tract 236, New York County, New York","-","**"
"1500000US360610039000","Block Group 0, Census Tract 39, New York County, New York","-","**"
"1500000US360610015010","Block Group 0, Census Tract 15.01, New York County, New York","-","**"
"1500000US360610015013","Block Group 3, Census Tract 15.01, New York County, New York","-","**"
"1500000US360610022014","Block Group 4, Census Tract 22.01, New York County, New York","1097","91"
