"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1500000US360610001001","Block Group 1, Census Tract 1, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610002010","Block Group 0, Census Tract 2.01, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610002011","Block Group 1, Census Tract 2.01, New York County, New York","311","84","18","22","0","12","77","71","0","12","11","20","12","21","29","33","43","36","121","51","0","12"
"1500000US360610002012","Block Group 2, Census Tract 2.01, New York County, New York","622","99","28","44","29","27","101","49","103","72","85","48","93","63","42","35","32","23","92","63","17","19"
"1500000US360610002020","Block Group 0, Census Tract 2.02, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610002021","Block Group 1, Census Tract 2.02, New York County, New York","215","96","36","58","0","12","0","12","30","34","26","30","34","38","18","28","41","67","30","36","0","12"
"1500000US360610002022","Block Group 2, Census Tract 2.02, New York County, New York","490","130","0","12","15","23","86","65","31","33","59","50","19","40","81","74","16","25","155","87","28","47"
"1500000US360610002023","Block Group 3, Census Tract 2.02, New York County, New York","843","172","0","12","42","40","61","58","61","50","239","152","200","108","31","34","82","86","111","75","16","25"
"1500000US360610002024","Block Group 4, Census Tract 2.02, New York County, New York","716","219","44","60","15","24","132","110","131","135","87","94","196","88","0","12","0","12","83","62","28","33"
"1500000US360610002025","Block Group 5, Census Tract 2.02, New York County, New York","434","157","18","28","83","71","38","60","80","82","0","12","76","76","0","12","0","12","72","51","67","68"
"1500000US360610005000","Block Group 0, Census Tract 5, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610005001","Block Group 1, Census Tract 5, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610005002","Block Group 2, Census Tract 5, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610006000","Block Group 0, Census Tract 6, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610006001","Block Group 1, Census Tract 6, New York County, New York","462","140","43","69","27","34","74","62","26","30","24","39","42","54","0","12","0","12","211","137","15","24"
