"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1500000US360610030021","Block Group 1, Census Tract 30.02, New York County, New York","883","115","45","30","48","31","50","42","87","47","129","72","58","38","75","48","78","56","305","104","8","12"
"1500000US360610030022","Block Group 2, Census Tract 30.02, New York County, New York","743","108","7","11","64","55","156","91","27","24","169","71","38","41","53","43","49","38","162","83","18","20"
"1500000US360610031001","Block Group 1, Census Tract 31, New York County, New York","564","70","97","53","69","38","74","36","94","47","21","19","31","28","31","27","49","36","61","40","37","32"
"1500000US360610032001","Block Group 1, Census Tract 32, New York County, New York","810","205","58","56","72","87","45","52","77","64","100","102","92","92","50","49","0","11","239","116","77","75"
"1500000US360610032002","Block Group 2, Census Tract 32, New York County, New York","298","115","14","22","0","11","20","32","0","11","39","46","120","99","38","43","24","38","21","32","22","33"
"1500000US360610032003","Block Group 3, Census Tract 32, New York County, New York","614","198","48","78","155","150","41","53","184","138","22","37","23","31","60","59","7","15","56","45","18","30"
"1500000US360610032004","Block Group 4, Census Tract 32, New York County, New York","267","117","16","26","67","76","22","36","18","29","33","54","21","36","0","11","0","11","90","91","0","11"
"1500000US360610032005","Block Group 5, Census Tract 32, New York County, New York","257","100","0","11","0","11","37","61","70","67","99","87","31","50","0","11","0","11","12","19","8","14"
"1500000US360610032006","Block Group 6, Census Tract 32, New York County, New York","940","221","24","40","132","145","91","69","126","90","182","141","83","62","20","31","43","70","182","124","57","57"
"1500000US360610032007","Block Group 7, Census Tract 32, New York County, New York","680","150","53","73","19","35","74","74","77","78","0","11","37","60","23","38","78","72","257","131","62","92"
"1500000US360610033001","Block Group 1, Census Tract 33, New York County, New York","899","158","182","82","187","94","47","63","48","32","42","41","111","82","7","12","44","43","231","133","0","11"
"1500000US360610033002","Block Group 2, Census Tract 33, New York County, New York","156","94","121","88","13","22","0","11","11","17","0","11","0","11","0","11","0","11","0","11","11","18"
"1500000US360610033003","Block Group 3, Census Tract 33, New York County, New York","222","120","100","68","0","11","0","11","12","19","41","64","0","11","0","11","0","11","59","76","10","17"
"1500000US360610034001","Block Group 1, Census Tract 34, New York County, New York","959","189","158","106","134","106","65","49","82","80","165","127","15","23","23","28","80","92","237","125","0","11"
"1500000US360610034002","Block Group 2, Census Tract 34, New York County, New York","667","178","65","53","45","48","57","57","88","89","143","111","26","42","22","27","0","11","196","105","25","41"
"1500000US360610034003","Block Group 3, Census Tract 34, New York County, New York","954","186","108","86","147","140","40","39","60","46","178","107","107","82","0","11","82","56","232","102","0","11"
"1500000US360610034004","Block Group 4, Census Tract 34, New York County, New York","907","172","99","77","46","75","67","65","40","48","59","66","120","75","16","24","167","120","249","105","44","42"
"1500000US360610036011","Block Group 1, Census Tract 36.01, New York County, New York","314","76","9","15","13","21","31","36","0","11","27","26","43","30","13","16","8","13","151","67","19","22"
"1500000US360610036012","Block Group 2, Census Tract 36.01, New York County, New York","301","88","17","17","20","24","93","65","16","20","63","56","0","11","22","24","51","39","19","23","0","11"
"1500000US360610036013","Block Group 3, Census Tract 36.01, New York County, New York","644","94","211","65","17","26","70","50","23","26","61","45","40","35","40","38","37","27","113","56","32","40"
"1500000US360610036021","Block Group 1, Census Tract 36.02, New York County, New York","660","94","64","50","59","59","71","42","87","53","38","36","47","32","27","33","106","69","161","73","0","11"
"1500000US360610036022","Block Group 2, Census Tract 36.02, New York County, New York","607","102","51","28","26","32","97","56","80","42","14","22","86","58","47","39","20","23","153","70","33","33"
"1500000US360610037000","Block Group 0, Census Tract 37, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610037001","Block Group 1, Census Tract 37, New York County, New York","267","74","50","33","27","31","11","18","50","43","58","58","0","11","27","26","0","11","31","38","13","12"
"1500000US360610037002","Block Group 2, Census Tract 37, New York County, New York","266","101","20","23","66","65","0","11","10","15","57","53","0","11","11","17","12","18","31","30","59","70"
"1500000US360610037003","Block Group 3, Census Tract 37, New York County, New York","231","59","15","23","9","15","12","20","51","43","44","34","16","24","11","17","23","27","36","24","14","21"
"1500000US360610038001","Block Group 1, Census Tract 38, New York County, New York","630","145","0","11","45","52","37","49","94","65","66","83","64","65","26","44","58","67","240","106","0","11"
"1500000US360610038002","Block Group 2, Census Tract 38, New York County, New York","318","112","55","62","90","74","22","36","0","11","14","25","0","11","0","11","0","11","137","97","0","11"
"1500000US360610038003","Block Group 3, Census Tract 38, New York County, New York","576","177","57","77","87","75","58","78","228","149","105","91","12","21","0","11","15","25","14","23","0","11"
