"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1500000US360610063002","Block Group 2, Census Tract 63, New York County, New York","503","172","60","48","69","80","85","65","0","11","16","25","62","95","0","11","80","86","131","94","0","11"
"1500000US360610063003","Block Group 3, Census Tract 63, New York County, New York","482","140","72","70","29","44","0","11","81","52","43","43","0","11","0","11","39","44","203","129","15","25"
"1500000US360610063004","Block Group 4, Census Tract 63, New York County, New York","418","138","19","31","18","27","88","75","44","44","79","104","15","23","30","34","43","41","82","67","0","11"
"1500000US360610063005","Block Group 5, Census Tract 63, New York County, New York","358","155","0","11","0","11","0","11","29","24","168","157","15","24","0","11","28","47","96","74","22","28"
"1500000US360610064001","Block Group 1, Census Tract 64, New York County, New York","579","225","0","11","63","101","102","117","77","104","75","101","0","11","39","44","21","35","189","163","13","21"
"1500000US360610064002","Block Group 2, Census Tract 64, New York County, New York","635","129","61","78","46","55","108","77","90","86","116","98","34","42","0","11","0","11","180","113","0","11"
"1500000US360610064003","Block Group 3, Census Tract 64, New York County, New York","578","167","124","98","85","102","99","86","0","11","123","94","27","46","54","86","0","11","66","62","0","11"
"1500000US360610064004","Block Group 4, Census Tract 64, New York County, New York","729","147","43","49","76","73","47","56","71","85","99","100","85","74","20","34","21","38","203","121","64","68"
"1500000US360610064005","Block Group 5, Census Tract 64, New York County, New York","571","147","52","78","71","55","36","60","79","93","127","121","0","11","63","53","73","66","70","89","0","11"
"1500000US360610064006","Block Group 6, Census Tract 64, New York County, New York","280","187","22","35","0","11","27","45","21","35","41","38","0","11","87","139","0","11","82","97","0","11"
"1500000US360610065001","Block Group 1, Census Tract 65, New York County, New York","444","117","69","54","121","94","47","49","28","24","12","20","31","48","37","59","0","11","45","55","54","59"
"1500000US360610065002","Block Group 2, Census Tract 65, New York County, New York","537","152","0","11","43","64","64","66","28","33","35","35","57","57","81","89","133","101","69","52","27","32"
"1500000US360610065003","Block Group 3, Census Tract 65, New York County, New York","478","128","23","28","27","32","0","11","48","41","138","110","50","59","45","39","115","83","20","24","12","18"
"1500000US360610065004","Block Group 4, Census Tract 65, New York County, New York","685","191","48","59","61","49","120","99","72","79","62","72","12","24","24","38","0","11","272","132","14","22"
"1500000US360610065005","Block Group 5, Census Tract 65, New York County, New York","616","128","24","30","42","34","81","92","65","70","108","63","26","31","74","87","63","70","119","70","14","22"
"1500000US360610066001","Block Group 1, Census Tract 66, New York County, New York","391","199","0","11","50","84","0","11","207","210","0","11","0","11","0","11","39","63","95","106","0","11"
"1500000US360610066002","Block Group 2, Census Tract 66, New York County, New York","568","298","54","87","39","63","0","11","20","37","153","259","54","89","118","134","0","11","130","116","0","11"
"1500000US360610066003","Block Group 3, Census Tract 66, New York County, New York","370","160","49","80","107","104","69","80","0","11","72","87","0","11","0","11","0","11","73","68","0","11"
"1500000US360610066004","Block Group 4, Census Tract 66, New York County, New York","657","274","48","78","88","102","41","69","246","256","125","159","0","11","0","11","0","11","109","88","0","11"
