"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1500000US360610230001","Block Group 1, Census Tract 230, New York County, New York","606","158","14","21","63","79","20","31","38","59","85","71","70","69","22","34","59","58","165","116","70","77"
"1500000US360610230002","Block Group 2, Census Tract 230, New York County, New York","906","162","53","54","38","44","57","58","110","87","153","106","62","51","78","76","106","70","216","85","33","38"
"1500000US360610230003","Block Group 3, Census Tract 230, New York County, New York","628","134","32","38","94","69","84","73","44","52","113","101","14","21","0","11","39","41","125","84","83","72"
"1500000US360610230004","Block Group 4, Census Tract 230, New York County, New York","862","155","85","65","122","99","68","57","132","96","110","61","76","63","98","81","89","78","51","61","31","35"
"1500000US360610230005","Block Group 5, Census Tract 230, New York County, New York","520","127","47","35","68","77","136","104","72","75","47","60","30","37","0","11","48","56","72","70","0","11"
"1500000US360610231001","Block Group 1, Census Tract 231, New York County, New York","922","161","17","28","124","92","151","109","55","56","16","26","123","70","93","95","113","83","165","96","65","52"
"1500000US360610231002","Block Group 2, Census Tract 231, New York County, New York","749","168","54","65","23","38","38","61","47","43","18","27","31","34","17","28","68","86","404","145","49","52"
"1500000US360610231003","Block Group 3, Census Tract 231, New York County, New York","739","180","6","13","137","134","44","56","70","53","73","76","71","57","56","54","98","87","139","86","45","51"
"1500000US360610232001","Block Group 1, Census Tract 232, New York County, New York","345","93","38","64","0","11","21","34","72","61","30","26","20","33","17","29","16","25","118","54","13","21"
"1500000US360610232002","Block Group 2, Census Tract 232, New York County, New York","950","144","25","22","76","60","61","55","172","121","174","111","139","99","39","62","0","11","228","97","36","46"
"1500000US360610232003","Block Group 3, Census Tract 232, New York County, New York","760","175","90","106","66","63","8","14","50","45","228","112","9","15","9","16","82","69","183","126","35","55"
"1500000US360610232004","Block Group 4, Census Tract 232, New York County, New York","971","211","0","11","21","33","257","164","94","67","0","11","71","62","14","23","119","94","311","140","84","80"
"1500000US360610233000","Block Group 0, Census Tract 233, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610233001","Block Group 1, Census Tract 233, New York County, New York","760","136","35","40","43","50","100","70","122","87","47","43","13","21","0","11","76","83","310","133","14","24"
"1500000US360610233002","Block Group 2, Census Tract 233, New York County, New York","793","156","39","63","52","40","81","64","168","106","55","51","37","44","56","52","69","55","141","80","95","106"
"1500000US360610233003","Block Group 3, Census Tract 233, New York County, New York","672","154","51","61","53","52","41","50","12","20","92","74","0","11","91","89","102","84","230","102","0","11"
"1500000US360610234001","Block Group 1, Census Tract 234, New York County, New York","1010","153","35","42","88","90","175","94","61","50","96","66","23","26","54","52","116","81","362","144","0","11"
"1500000US360610234002","Block Group 2, Census Tract 234, New York County, New York","1144","159","39","37","31","32","40","48","113","73","138","101","137","78","123","85","139","107","298","112","86","77"
"1500000US360610235011","Block Group 1, Census Tract 235.01, New York County, New York","390","123","0","11","47","64","0","11","102","90","72","70","79","75","30","37","14","25","46","47","0","11"
"1500000US360610235012","Block Group 2, Census Tract 235.01, New York County, New York","801","169","32","51","56","60","37","56","102","90","24","31","70","51","67","82","172","109","147","88","94","94"
