"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1500000US360610108004","Block Group 4, Census Tract 108, New York County, New York","397","166","160","126","71","66","115","116","51","78","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610108005","Block Group 5, Census Tract 108, New York County, New York","655","240","78","79","255","196","206","151","18","30","0","11","23","40","27","44","0","11","24","43","24","39"
"1500000US360610108006","Block Group 6, Census Tract 108, New York County, New York","606","221","100","99","107","96","90","96","0","11","0","11","26","42","114","112","121","113","48","54","0","11"
"1500000US360610108007","Block Group 7, Census Tract 108, New York County, New York","158","92","0","11","0","11","37","57","71","64","24","39","0","11","0","11","0","11","26","43","0","11"
"1500000US360610077005","Block Group 5, Census Tract 77, New York County, New York","358","112","32","27","38","43","27","33","42","51","85","70","18","29","47","37","30","33","39","61","0","11"
"1500000US360610074003","Block Group 3, Census Tract 74, New York County, New York","520","116","137","69","28","35","76","54","18","28","80","58","77","55","0","11","25","30","38","37","41","61"
"1500000US360610159000","Block Group 0, Census Tract 159, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610162001","Block Group 1, Census Tract 162, New York County, New York","714","182","0","11","50","63","193","125","76","77","49","47","63","55","19","23","104","79","160","115","0","11"
"1500000US360610187000","Block Group 0, Census Tract 187, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610162005","Block Group 5, Census Tract 162, New York County, New York","795","162","51","64","40","45","31","36","31","36","141","81","98","79","67","54","105","108","193","95","38","62"
"1500000US360610162000","Block Group 0, Census Tract 162, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610307003","Block Group 3, Census Tract 307, New York County, New York","715","86","24","26","52","47","74","58","99","55","101","64","24","23","25","25","85","53","130","67","101","70"
"1500000US360610061003","Block Group 3, Census Tract 61, New York County, New York","628","167","61","69","168","112","173","121","104","91","0","11","38","45","13","21","14","21","57","45","0","11"
"1500000US360610069000","Block Group 0, Census Tract 69, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610088006","Block Group 6, Census Tract 88, New York County, New York","266","128","28","43","27","43","0","11","24","38","0","11","56","67","30","49","0","11","101","79","0","11"
"1500000US360610088004","Block Group 4, Census Tract 88, New York County, New York","254","151","0","11","21","35","31","50","64","75","0","11","26","42","0","11","30","49","82","132","0","11"
"1500000US360610088005","Block Group 5, Census Tract 88, New York County, New York","244","159","0","11","0","11","22","36","34","55","27","43","21","36","0","11","0","11","140","140","0","11"
"1500000US360610088007","Block Group 7, Census Tract 88, New York County, New York","290","134","0","11","0","11","28","44","0","11","58","66","12","23","29","46","51","61","85","81","27","42"
"1500000US360610071005","Block Group 5, Census Tract 71, New York County, New York","605","152","35","41","30","35","156","91","97","57","107","105","55","50","13","20","13","19","99","63","0","11"
"1500000US360610072005","Block Group 5, Census Tract 72, New York County, New York","568","204","105","136","104","91","56","69","110","97","18","30","8","16","0","11","101","120","66","64","0","11"
"1500000US360610072006","Block Group 6, Census Tract 72, New York County, New York","196","101","25","45","34","51","65","76","22","37","0","11","0","11","0","11","0","11","50","61","0","11"
"1500000US360610134008","Block Group 8, Census Tract 134, New York County, New York","797","261","161","126","162","167","126","114","133","133","0","11","37","62","42","73","45","74","91","108","0","11"
"1500000US360610134009","Block Group 9, Census Tract 134, New York County, New York","351","291","0","11","0","11","0","11","97","112","0","11","0","11","0","11","0","11","202","261","52","83"
"1500000US360610091004","Block Group 4, Census Tract 91, New York County, New York","559","206","65","70","28","44","146","148","0","11","66","56","53","47","0","11","95","151","106","109","0","11"
"1500000US360610243020","Block Group 0, Census Tract 243.02, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610016005","Block Group 5, Census Tract 16, New York County, New York","367","119","28","32","36","41","68","47","28","31","54","54","19","30","0","11","0","11","71","56","63","71"
"1500000US360610080005","Block Group 5, Census Tract 80, New York County, New York","334","135","23","19","31","37","16","25","15","23","78","82","16","26","33","35","12","20","65","83","45","74"
"1500000US360610121006","Block Group 6, Census Tract 121, New York County, New York","568","212","36","58","72","112","94","87","35","51","108","109","97","137","0","11","53","68","73","95","0","11"
"1500000US360610121005","Block Group 5, Census Tract 121, New York County, New York","580","172","97","97","90","86","40","48","0","11","41","47","0","11","31","49","46","53","205","146","30","46"
"1500000US360610179007","Block Group 7, Census Tract 179, New York County, New York","497","186","91","101","0","11","30","28","69","60","12","19","23","36","72","104","50","49","89","89","61","70"
"1500000US360610179000","Block Group 0, Census Tract 179, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610010020","Block Group 0, Census Tract 10.02, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610010022","Block Group 2, Census Tract 10.02, New York County, New York","635","201","8","13","73","75","12","19","37","60","106","88","146","121","14","22","91","91","94","113","54","69"
"1500000US360610010023","Block Group 3, Census Tract 10.02, New York County, New York","1114","236","87","117","92","108","42","46","300","161","149","122","208","134","14","23","102","72","88","76","32","45"
"1500000US360610145003","Block Group 3, Census Tract 145, New York County, New York","484","118","120","90","45","44","18","29","47","45","48","44","70","87","0","11","33","38","73","67","30","32"
"1500000US360610145004","Block Group 4, Census Tract 145, New York County, New York","98","65","0","11","12","19","20","34","34","37","0","11","0","11","0","11","0","11","32","36","0","11"
"1500000US360610110003","Block Group 3, Census Tract 110, New York County, New York","871","249","77","73","93","113","158","163","227","164","52","44","0","11","42","51","28","45","194","91","0","11"
"1500000US360610110004","Block Group 4, Census Tract 110, New York County, New York","323","147","42","52","23","39","26","42","26","42","25","40","0","11","22","36","18","29","21","34","120","150"
"1500000US360610110005","Block Group 5, Census Tract 110, New York County, New York","306","163","53","44","61","71","100","109","0","11","0","11","70","113","22","35","0","11","0","11","0","11"
"1500000US360610110006","Block Group 6, Census Tract 110, New York County, New York","747","165","45","43","100","84","22","36","102","92","39","46","51","58","81","81","32","51","185","139","90","85"
"1500000US360610106023","Block Group 3, Census Tract 106.02, New York County, New York","437","117","45","34","170","108","41","38","59","48","35","37","44","39","0","11","27","33","16","26","0","11"
"1500000US360610106020","Block Group 0, Census Tract 106.02, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610149005","Block Group 5, Census Tract 149, New York County, New York","481","129","70","51","17","27","50","43","0","11","33","35","27","29","0","11","48","45","167","93","69","49"
"1500000US360610008006","Block Group 6, Census Tract 8, New York County, New York","470","160","23","36","0","11","40","65","50","65","0","11","0","11","16","27","14","22","290","145","37","61"
"1500000US360610008000","Block Group 0, Census Tract 8, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610008004","Block Group 4, Census Tract 8, New York County, New York","822","165","45","57","74","72","186","129","96","82","31","34","42","48","89","83","40","53","219","110","0","11"
"1500000US360610008005","Block Group 5, Census Tract 8, New York County, New York","797","177","0","11","83","75","94","62","111","110","38","39","33","39","115","83","45","49","250","143","28","35"
"1500000US360610138005","Block Group 5, Census Tract 138, New York County, New York","318","186","0","11","0","11","51","80","54","93","120","139","0","11","53","88","0","11","40","66","0","11"
"1500000US360610138006","Block Group 6, Census Tract 138, New York County, New York","857","318","0","11","113","139","193","240","100","93","82","65","151","142","0","11","47","77","171","166","0","11"
"1500000US360610138007","Block Group 7, Census Tract 138, New York County, New York","487","234","0","11","0","11","65","106","0","11","165","249","0","11","37","60","62","115","112","107","46","73"
"1500000US360610138008","Block Group 8, Census Tract 138, New York County, New York","236","153","0","11","115","137","0","11","0","11","65","109","0","11","0","11","0","11","56","89","0","11"
"1500000US360610138009","Block Group 9, Census Tract 138, New York County, New York","71","92","0","11","0","11","0","11","20","37","0","11","0","11","51","83","0","11","0","11","0","11"
"1500000US360610177005","Block Group 5, Census Tract 177, New York County, New York","263","128","21","36","29","53","165","126","0","11","29","50","19","31","0","11","0","11","0","11","0","11"
"1500000US360610139005","Block Group 5, Census Tract 139, New York County, New York","524","278","0","11","46","78","48","82","65","105","50","80","118","172","100","119","0","11","97","151","0","11"
"1500000US360610185002","Block Group 2, Census Tract 185, New York County, New York","1265","168","159","106","339","131","112","68","40","39","28","32","112","100","43","39","131","70","260","151","41","34"
"1500000US360610185003","Block Group 3, Census Tract 185, New York County, New York","262","102","28","36","54","49","31","36","0","11","19","33","17","27","15","23","7","12","91","83","0","11"
"1500000US360610210000","Block Group 0, Census Tract 210, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610210004","Block Group 4, Census Tract 210, New York County, New York","663","171","16","26","45","72","107","99","110","92","161","113","93","91","24","38","36","57","36","43","35","55"
"1500000US360610195000","Block Group 0, Census Tract 195, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610044005","Block Group 5, Census Tract 44, New York County, New York","1452","293","115","121","38","64","461","236","65","76","83","94","213","159","142","136","212","194","123","146","0","11"
"1500000US360610086021","Block Group 1, Census Tract 86.02, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610086020","Block Group 0, Census Tract 86.02, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610213034","Block Group 4, Census Tract 213.03, New York County, New York","638","148","15","23","103","77","19","30","97","64","24","28","76","56","28","33","36","46","136","97","104","83"
"1500000US360610213032","Block Group 2, Census Tract 213.03, New York County, New York","231","89","69","77","0","11","25","35","21","32","0","11","0","11","15","24","45","54","56","59","0","11"
"1500000US360610213033","Block Group 3, Census Tract 213.03, New York County, New York","786","153","105","75","57","64","103","87","92","77","17","27","49","52","25","40","95","83","188","109","55","55"
"1500000US360610213031","Block Group 1, Census Tract 213.03, New York County, New York","462","114","0","11","7","12","76","66","72","65","30","47","29","49","52","46","57","59","101","72","38","54"
"1500000US360610006000","Block Group 0, Census Tract 6, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610006005","Block Group 5, Census Tract 6, New York County, New York","861","186","0","11","129","129","135","142","44","51","117","87","175","118","18","32","49","60","128","111","66","78"
"1500000US360610006006","Block Group 6, Census Tract 6, New York County, New York","841","208","82","139","0","11","50","62","164","103","109","99","102","87","40","64","154","178","140","141","0","11"
"1500000US360610223014","Block Group 4, Census Tract 223.01, New York County, New York","450","117","0","11","51","61","34","51","4","15","0","11","60","56","9","14","61","63","187","113","44","66"
"1500000US360610223010","Block Group 0, Census Tract 223.01, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610139006","Block Group 6, Census Tract 139, New York County, New York","534","305","132","129","121","180","58","96","0","11","0","11","140","221","0","11","0","11","83","97","0","11"
"1500000US360610139007","Block Group 7, Census Tract 139, New York County, New York","554","238","83","87","0","11","35","57","37","61","0","11","226","204","0","11","0","11","173","133","0","11"
"1500000US360610133005","Block Group 5, Census Tract 133, New York County, New York","410","130","14","23","39","35","92","86","70","76","40","36","20","31","15","24","39","37","31","36","50","58"
"1500000US360610158022","Block Group 2, Census Tract 158.02, New York County, New York","704","109","138","74","31","28","57","67","57","33","138","86","47","53","32","29","0","11","188","68","16","17"
"1500000US360610192000","Block Group 0, Census Tract 192, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610192003","Block Group 3, Census Tract 192, New York County, New York","573","115","46","55","64","49","26","26","84","75","67","58","63","51","46","36","8","12","139","71","30","36"
"1500000US360610177006","Block Group 6, Census Tract 177, New York County, New York","315","145","21","33","0","11","21","33","66","107","64","60","0","11","26","42","0","11","117","80","0","11"
"1500000US360610177007","Block Group 7, Census Tract 177, New York County, New York","174","108","0","11","0","11","0","11","71","60","0","11","20","34","0","11","0","11","83","101","0","11"
"1500000US360610177008","Block Group 8, Census Tract 177, New York County, New York","614","188","114","117","175","124","0","11","33","54","185","135","22","36","0","11","0","11","85","78","0","11"
"1500000US360610116000","Block Group 0, Census Tract 116, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610117000","Block Group 0, Census Tract 117, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610089005","Block Group 5, Census Tract 89, New York County, New York","489","126","71","69","87","55","30","33","26","30","15","24","0","11","47","74","27","32","136","94","50","65"
"1500000US360610063005","Block Group 5, Census Tract 63, New York County, New York","272","110","16","25","32","38","0","11","26","33","108","88","0","11","0","11","13","23","60","52","17","26"
"1500000US360610078004","Block Group 4, Census Tract 78, New York County, New York","470","176","0","11","64","57","109","87","90","100","52","61","43","74","28","46","30","48","54","61","0","11"
"1500000US360610078005","Block Group 5, Census Tract 78, New York County, New York","305","201","0","11","0","11","22","35","65","59","21","34","0","11","93","141","81","129","23","37","0","11"
"1500000US360610078006","Block Group 6, Census Tract 78, New York County, New York","596","203","136","95","59","79","117","104","27","44","18","31","84","79","0","11","31","49","100","100","24","37"
"1500000US360610078007","Block Group 7, Census Tract 78, New York County, New York","694","215","0","11","91","88","125","90","0","11","41","69","27","44","55","69","182","171","173","137","0","11"
"1500000US360610055013","Block Group 3, Census Tract 55.01, New York County, New York","400","100","62","52","116","89","81","59","46","38","0","11","0","11","50","47","34","28","11","13","0","11"
"1500000US360610157005","Block Group 5, Census Tract 157, New York County, New York","429","271","31","51","0","11","137","221","0","11","0","11","82","94","34","57","46","76","99","119","0","11"
"1500000US360610157006","Block Group 6, Census Tract 157, New York County, New York","489","253","33","54","44","71","33","56","180","237","31","50","42","68","0","11","44","71","43","69","39","63"
"1500000US360610153007","Block Group 7, Census Tract 153, New York County, New York","200","106","47","53","0","11","58","67","48","56","0","11","23","38","24","39","0","11","0","11","0","11"
"1500000US360610157007","Block Group 7, Census Tract 157, New York County, New York","461","179","0","11","127","118","0","11","0","11","41","66","42","68","72","131","87","99","92","105","0","11"
"1500000US360610157008","Block Group 8, Census Tract 157, New York County, New York","298","171","0","11","47","79","0","11","184","151","0","11","0","11","0","11","23","39","44","71","0","11"
"1500000US360610265005","Block Group 5, Census Tract 265, New York County, New York","229","115","0","11","12","19","82","92","30","35","0","11","15","24","0","11","17","24","73","64","0","11"
